,train,val,test
0,F23-00306A01,F24-03484A01,F23-04874A01
1,F23-00338A01+H01,F24-03508A01,F24-02775A01
2,F23-00806A01,F23-00443A01,F24-03937A01
3,F23-01286A01+H01,F24-04201A01,F24-00037A01
4,F23-01337A01,F24-04560A01,F24-03501A01
5,F23-01398A01+H01,F24-00265A01,F24-03514A01
6,F23-01430A01+A02,F22-05589A01+A02,F24-01046A01
7,F23-01506A01+H01,F24-03287A01,F24-02421A01
8,F23-01509A01+H01,F23-01800A01+H01,F23-01076A01+H01
9,F23-01910A01+H01,F23-04650A01,23-09387A01
10,F23-02057A01,,
11,F23-02068A01,,
12,F23-02083A01+H01,,
13,F23-02367A01+H01,,
14,F23-02726A01,,
15,F23-02953A01,,
16,F23-02999A01,,
17,F23-03267A01+H01,,
18,F23-03278A01+H01,,
19,F23-03684A01+H01,,
20,F23-04615A01,,
21,F23-05311A01+A02,,
22,F23-06036A01+H01,,
23,F24-00336A01+A02,,
24,F24-00416A01,,
25,F24-00820A01,,
26,F24-01361A01,,
27,F24-01528A01,,
28,F24-01554A01,,
29,F24-01849A01,,
30,F24-02124A01+H01,,
31,F24-02130A01,,
32,F24-02480A01,,
33,F24-02964A01,,
34,F24-03129A01,,
35,F24-03627A01,,
36,F24-03637A01,,
37,F24-04100A01,,
38,F24-04181A01+H01,,
39,F24-04233A01,,
40,F24-04706A01,,
41,F24-04731A01,,
42,F24-04890A01,,
43,F24-05189A01,,
44,F24-05370A01,,
45,F24-05463A01,,
46,F24-05471A01,,
47,F24-05576A01,,
48,F24-06104A01,,
49,22-36133A01+A02,,
50,23-01260A03+A04,,
51,23-12172A03+A04,,
52,23-48187A01+A02,,
53,23-65568A07+A08,,
54,F21-01306A01+H01[重切2],,
55,F21-05091A01,,
56,F21-05991A01,,
57,F21-06257A01,,
58,F21-06724A01,,
59,F22-00471A01[重切1],,
60,F22-03264A01+A02,,
61,F22-05268A01,,
62,F22-05516A01,,
63,F22-05933A01+H01,,
64,F22-06001A01+H01,,
65,F23-00599A01+H01,,
66,F23-00857A01+H01,,
67,F23-02094A01+A02,,
68,F23-02462A01,,
69,F23-03369A01,,
70,F23-04383A01+A02,,
71,F24-02672A01,,
72,F24-02761A01,,
73,F24-02917A01,,
74,F24-03483A01+A02,,
75,F24-05247A01,,
76,F24-05984A01+H01,,
77,F24-07192A01,,
78,F24-07620A01+H01,,
