,train,val,test
0,F23-00306A01,F23-01430A01+A02,F23-01398A01+H01
1,F23-00338A01+H01,F23-03684A01+H01,F23-01286A01+H01
2,F23-00443A01,F23-00806A01,F23-05311A01+A02
3,F23-01910A01+H01,F22-05278H02,F22-05933A01+H01
4,F23-02083H02,23-65568A07+A08,F24-02761A01
5,F23-02367A01+H01,F24-03483A01+A02,F22-03264A01+A02
6,F23-02726A01,,
7,F23-02953,,
8,F23-02999A01,,
9,F23-03267A01+H01,,
10,F23-03278A01+H01,,
11,F23-03697H01+H02,,
12,F23-04615A01,,
13,F23-04874A01,,
14,F23-06036A01+H01,,
15,F24-00037A01,,
16,F24-00265A01,,
17,F24-00336A01+A02,,
18,F24-00416A01,,
19,F24-00820A01,,
20,F24-01361A01,,
21,F24-01528A01,,
22,F24-01554A01+H01,,
23,F24-01849A01+A02,,
24,22-36133A01+A02,,
25,23-12172A03+A04,,
26,23-48187A01+A02,,
27,F21-01306,,
28,F21-06724A01,,
29,F22-00471A01[重切1],,
30,F22-05268A01,,
31,F22-05516A01+A02,,
32,F22-06001A01+H01,,
33,F23-00599A01+H01,,
34,F23-00857A01+H01,,
35,F23-01076A01+H01,,
36,F23-02094,,
37,F23-02462A01,,
38,F23-04383A01+A02,,
39,F23-04650A01,,
40,F23-05495H03+H04,,
41,F24-02421A01,,
42,F24-02917A01,,
43,F24-03287A01,,
44,F24-05247A01+A02,,
45,F24-05984A01+H01,,
46,F24-06703H01+H02,,
47,F24-07192A01,,
